2021-07-21T19:28:43.411+0700 [INFO]  agent: Deregistered service: service=IdentityServer
2021-07-21T19:28:43.514+0700 [INFO]  agent: Deregistered service: service=ProtectedApi
2021-07-21T19:28:43.581+0700 [INFO]  agent: Synced service: service=IdentityServer
2021-07-21T19:30:56.465+0700 [INFO]  agent: Deregistered service: service=GeneralApi
2021-07-21T19:30:56.514+0700 [WARN]  agent: Failed to deregister service: service=ProtectedApi error="Service "ProtectedApi" does not exist"
2021-07-21T19:30:56.582+0700 [INFO]  agent: Deregistered service: service=IdentityServer
2021-07-21T19:30:56.626+0700 [INFO]  agent: Synced service: service=GeneralApi
2021-07-21T19:30:56.658+0700 [INFO]  agent: Synced service: service=ProtectedApi
2021-07-21T19:30:56.726+0700 [INFO]  agent: Synced service: service=IdentityServer
2021-07-21T19:32:28.694+0700 [INFO]  agent: Deregistered service: service=ProtectedApi
2021-07-21T19:32:28.700+0700 [INFO]  agent: Deregistered service: service=GeneralApi
2021-07-21T19:32:28.888+0700 [INFO]  agent: Synced service: service=ProtectedApi
2021-07-21T19:32:28.902+0700 [INFO]  agent: Synced service: service=GeneralApi
2021-07-21T19:32:29.743+0700 [INFO]  agent: Deregistered service: service=IdentityServer
2021-07-21T19:32:29.917+0700 [INFO]  agent: Synced service: service=IdentityServer
2021-07-21T19:34:17.478+0700 [INFO]  agent: Deregistered service: service=ProtectedApi
2021-07-21T19:34:17.665+0700 [INFO]  agent: Synced service: service=ProtectedApi
2021-07-21T19:34:17.677+0700 [INFO]  agent: Deregistered service: service=IdentityServer
2021-07-21T19:34:17.682+0700 [INFO]  agent: Deregistered service: service=GeneralApi
2021-07-21T19:34:17.867+0700 [INFO]  agent: Synced service: service=GeneralApi
2021-07-21T19:34:17.883+0700 [INFO]  agent: Synced service: service=IdentityServer
2021-07-21T19:35:08.717+0700 [INFO]  agent: Deregistered service: service=ProtectedApi
2021-07-21T19:35:08.850+0700 [INFO]  agent: Deregistered service: service=GeneralApi
2021-07-21T19:35:08.911+0700 [INFO]  agent: Synced service: service=ProtectedApi
2021-07-21T19:35:09.032+0700 [INFO]  agent: Synced service: service=GeneralApi
2021-07-21T19:35:09.101+0700 [INFO]  agent: Deregistered service: service=IdentityServer
2021-07-21T19:35:09.278+0700 [INFO]  agent: Synced service: service=IdentityServer
2021-07-21T19:37:55.601+0700 [INFO]  agent: Deregistered service: service=GeneralApi
2021-07-21T19:37:55.707+0700 [INFO]  agent: Deregistered service: service=ProtectedApi
2021-07-21T19:37:55.772+0700 [INFO]  agent: Synced service: service=GeneralApi
2021-07-21T19:37:55.855+0700 [INFO]  agent: Deregistered service: service=IdentityServer
2021-07-21T19:37:55.868+0700 [INFO]  agent: Synced service: service=ProtectedApi
2021-07-21T19:37:55.994+0700 [INFO]  agent: Synced service: service=IdentityServer
2021-07-21T19:47:42.648+0700 [INFO]  agent: Deregistered service: service=GeneralApi
2021-07-21T19:47:42.708+0700 [INFO]  agent: Deregistered service: service=ProtectedApi
2021-07-21T19:47:42.841+0700 [INFO]  agent: Synced service: service=GeneralApi
2021-07-21T19:47:42.906+0700 [INFO]  agent: Synced service: service=ProtectedApi
2021-07-21T19:47:44.884+0700 [INFO]  agent: Deregistered service: service=IdentityServer
2021-07-21T19:47:45.020+0700 [INFO]  agent: Synced service: service=IdentityServer
2021-07-22T10:34:47.758+0700 [INFO]  agent.fsm: snapshot created: duration=0s
2021-07-22T10:34:47.758+0700 [INFO]  agent.server.raft: starting snapshot up to: index=213004
2021-07-22T10:34:47.758+0700 [INFO]  agent.server.snapshot: creating new snapshot: path=D:\Software\consul\data\raft\snapshots\9-213004-1626924887758.tmp
2021-07-22T10:34:47.767+0700 [INFO]  agent.server.snapshot: reaping snapshot: path=D:\Software\consul\data\raft\snapshots\8-180234-1625815939976
2021-07-22T10:34:47.768+0700 [INFO]  agent.server.raft: compacting logs: from=186381 to=202764
2021-07-22T10:34:47.802+0700 [INFO]  agent.server.raft: snapshot complete up to: index=213004
2021-07-22T14:14:05.826+0700 [INFO]  agent: Deregistered service: service=ProtectedApi
2021-07-22T14:14:06.048+0700 [INFO]  agent: Synced service: service=ProtectedApi
2021-07-22T14:14:07.437+0700 [INFO]  agent: Deregistered service: service=GeneralApi
2021-07-22T14:14:07.585+0700 [INFO]  agent: Synced service: service=GeneralApi
2021-07-22T14:14:08.145+0700 [INFO]  agent: Deregistered service: service=IdentityServer
2021-07-22T14:14:08.334+0700 [INFO]  agent: Synced service: service=IdentityServer
2021-07-22T14:15:16.632+0700 [INFO]  agent: Deregistered service: service=ProtectedApi
2021-07-22T14:15:16.774+0700 [INFO]  agent: Synced service: service=ProtectedApi
2021-07-22T14:15:17.852+0700 [INFO]  agent: Deregistered service: service=GeneralApi
2021-07-22T14:15:18.055+0700 [INFO]  agent: Synced service: service=GeneralApi
2021-07-22T14:15:18.385+0700 [INFO]  agent: Deregistered service: service=IdentityServer
2021-07-22T14:15:18.587+0700 [INFO]  agent: Synced service: service=IdentityServer
