2021-07-19T16:45:35.425+0700 [INFO]  agent: Newer Consul version available: new_version=1.10.1 current_version=1.9.5
2021-07-19T19:24:39.985+0700 [INFO]  agent: Deregistered service: service=ProtectedApi
2021-07-19T19:24:40.160+0700 [INFO]  agent: Synced service: service=ProtectedApi
2021-07-19T19:24:40.619+0700 [INFO]  agent: Deregistered service: service=GeneralApi
2021-07-19T19:24:40.799+0700 [INFO]  agent: Synced service: service=GeneralApi
2021-07-19T19:24:41.079+0700 [INFO]  agent: Deregistered service: service=IdentityServer
2021-07-19T19:24:41.202+0700 [INFO]  agent: Synced service: service=IdentityServer
2021-07-19T19:44:00.298+0700 [INFO]  agent: Deregistered service: service=ProtectedApi
2021-07-19T19:44:00.491+0700 [INFO]  agent: Synced service: service=ProtectedApi
2021-07-19T19:44:01.617+0700 [INFO]  agent: Deregistered service: service=GeneralApi
2021-07-19T19:44:01.817+0700 [INFO]  agent: Synced service: service=GeneralApi
2021-07-19T19:44:02.063+0700 [INFO]  agent: Deregistered service: service=IdentityServer
2021-07-19T19:44:02.282+0700 [INFO]  agent: Synced service: service=IdentityServer
2021-07-19T19:53:57.189+0700 [INFO]  agent: Deregistered service: service=ProtectedApi
2021-07-19T19:53:57.401+0700 [INFO]  agent: Synced service: service=ProtectedApi
2021-07-19T19:53:58.690+0700 [INFO]  agent: Deregistered service: service=GeneralApi
2021-07-19T19:53:58.889+0700 [INFO]  agent: Synced service: service=GeneralApi
2021-07-19T19:53:59.134+0700 [INFO]  agent: Deregistered service: service=IdentityServer
2021-07-19T19:53:59.318+0700 [INFO]  agent: Synced service: service=IdentityServer
2021-07-19T20:07:02.111+0700 [INFO]  agent: Deregistered service: service=ProtectedApi
2021-07-19T20:07:02.281+0700 [INFO]  agent: Synced service: service=ProtectedApi
2021-07-19T20:07:03.267+0700 [INFO]  agent: Deregistered service: service=GeneralApi
2021-07-19T20:07:03.620+0700 [INFO]  agent: Synced service: service=GeneralApi
2021-07-19T20:07:03.792+0700 [INFO]  agent: Deregistered service: service=IdentityServer
2021-07-19T20:07:03.959+0700 [INFO]  agent: Synced service: service=IdentityServer
2021-07-19T20:08:47.618+0700 [INFO]  agent: Deregistered service: service=ProtectedApi
2021-07-19T20:08:47.770+0700 [INFO]  agent: Synced service: service=ProtectedApi
2021-07-19T20:08:48.987+0700 [INFO]  agent: Deregistered service: service=GeneralApi
2021-07-19T20:08:49.200+0700 [INFO]  agent: Synced service: service=GeneralApi
2021-07-19T20:08:49.493+0700 [INFO]  agent: Deregistered service: service=IdentityServer
2021-07-19T20:08:49.663+0700 [INFO]  agent: Synced service: service=IdentityServer
2021-07-19T20:10:39.718+0700 [INFO]  agent: Deregistered service: service=ProtectedApi
2021-07-19T20:10:39.869+0700 [INFO]  agent: Synced service: service=ProtectedApi
2021-07-19T20:10:40.999+0700 [INFO]  agent: Deregistered service: service=GeneralApi
2021-07-19T20:10:41.167+0700 [INFO]  agent: Synced service: service=GeneralApi
2021-07-19T20:10:41.322+0700 [INFO]  agent: Deregistered service: service=IdentityServer
2021-07-19T20:10:41.462+0700 [INFO]  agent: Synced service: service=IdentityServer
2021-07-19T20:11:42.669+0700 [INFO]  agent: Deregistered service: service=ProtectedApi
2021-07-19T20:11:42.830+0700 [INFO]  agent: Synced service: service=ProtectedApi
2021-07-19T20:11:44.186+0700 [INFO]  agent: Deregistered service: service=GeneralApi
2021-07-19T20:11:44.355+0700 [INFO]  agent: Synced service: service=GeneralApi
2021-07-19T20:11:44.589+0700 [INFO]  agent: Deregistered service: service=IdentityServer
2021-07-19T20:11:44.761+0700 [INFO]  agent: Synced service: service=IdentityServer
2021-07-19T20:44:42.490+0700 [INFO]  agent: Deregistered service: service=ProtectedApi
2021-07-19T20:44:42.674+0700 [INFO]  agent: Synced service: service=ProtectedApi
2021-07-19T20:44:43.470+0700 [INFO]  agent: Deregistered service: service=GeneralApi
2021-07-19T20:44:43.687+0700 [INFO]  agent: Synced service: service=GeneralApi
2021-07-19T20:44:43.942+0700 [INFO]  agent: Deregistered service: service=IdentityServer
2021-07-19T20:44:44.120+0700 [INFO]  agent: Synced service: service=IdentityServer
2021-07-19T21:28:25.313+0700 [INFO]  agent: Deregistered service: service=ProtectedApi
2021-07-19T21:28:25.461+0700 [INFO]  agent: Synced service: service=ProtectedApi
2021-07-19T21:28:26.919+0700 [INFO]  agent: Deregistered service: service=GeneralApi
2021-07-19T21:28:27.058+0700 [INFO]  agent: Synced service: service=GeneralApi
2021-07-19T21:28:27.249+0700 [INFO]  agent: Deregistered service: service=IdentityServer
2021-07-19T21:28:27.449+0700 [INFO]  agent: Synced service: service=IdentityServer
2021-07-20T11:21:03.500+0700 [WARN]  agent: error getting server health from server: server=MSI error="context deadline exceeded"
